id,age,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,health,absences,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,G1
310,16,2,2,2,1,3,3,3,1,3,25,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,11.0
311,16,2,1,2,0,4,2,3,1,5,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,11.0
312,16,4,1,2,0,4,2,4,2,1,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,11.0
313,15,4,2,2,0,4,3,1,1,5,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,12.0
314,18,1,2,3,0,4,4,4,1,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,11.0
315,18,4,1,1,0,1,4,2,2,1,5,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,12.0
316,17,2,1,3,0,4,3,3,1,4,4,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,12.0
317,15,2,1,2,0,4,2,2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,12.0
318,16,2,1,1,0,4,3,3,3,3,10,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,11.0
319,15,4,1,2,0,4,3,3,1,5,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,13.0
320,16,3,1,1,0,4,3,2,3,5,8,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,12.0
321,16,3,3,1,0,3,3,4,3,3,8,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,10.0
322,16,2,1,4,0,5,2,3,1,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,12.0
323,16,2,2,2,0,5,4,4,2,5,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,11.0
324,15,2,1,4,0,4,3,4,1,4,6,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,13.0
325,16,4,3,1,2,3,4,5,2,2,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,8.0
326,16,4,1,1,0,5,3,2,1,5,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,13.0
327,15,2,1,1,0,2,2,4,2,1,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,12.0
328,15,4,2,2,0,4,4,3,1,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,12.0
329,16,3,1,2,0,4,2,3,1,3,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,12.0
330,17,2,2,2,0,4,4,4,4,5,12,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,11.0
331,16,4,1,1,0,3,4,4,1,5,18,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,11.0
332,17,2,1,2,0,5,4,5,1,5,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,10.0
333,17,4,1,3,0,4,3,4,2,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,11.0
334,15,3,1,2,0,4,4,4,2,2,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,10.0
335,20,2,1,1,0,5,5,3,1,5,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,12.0
336,18,3,1,4,0,4,5,5,1,2,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,11.0
337,16,4,1,1,0,3,5,5,2,4,8,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,12.0
338,17,4,3,2,0,5,4,5,2,5,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,11.0
339,18,2,2,3,0,5,4,2,1,4,8,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,13.0
340,16,2,3,1,0,4,2,2,1,3,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,12.0
341,17,2,2,3,0,3,3,3,2,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,11.0
342,16,3,1,3,1,4,1,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,10.0
343,15,2,2,2,0,4,3,5,1,2,26,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,10.0
344,17,4,1,1,0,5,2,1,1,3,12,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,12.0
345,15,2,1,2,3,3,3,2,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,9.0
346,17,1,1,3,1,4,3,4,1,5,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,10.0
347,18,2,1,2,0,5,4,5,1,5,10,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,11.0
348,15,4,4,2,0,5,3,3,1,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,12.0
349,15,1,3,3,0,5,2,2,1,4,4,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,13.0
